,links,posters,names,authors,date_of_release,ratings,prices
0,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo1OTg1MDYxOTI0NzU3OTg0OjE3MjQ0MDY4NTQ6c3BfYXRmOjMwMDEyMDE4NzA0NjMwMjo6MDo6&url=%2FMastering-Tableau-2023-intelligence-techniques%2Fdp%2F1803233761%2Fref%3Dsr_1_1_sspa%3Fdib%3DeyJ2IjoiMSJ9.xAwomaxIymCfFuMlQoeVEPypoo3xij43kJuPhi1zk0yjphG75TDEqytpGVh3M9iqgRpiMhe29EGqlllWi8r7Y7IaikZauYrLEaQGAQbwROvDdoyMAauZP5kYp-tL0-9n1b3fqr8pxTK2yWjSHhVLHWdkAkKx_XXIaSu8f_fP2CXuG9yvkrSvr_XiZAXTCtM_oOfLhUcsJs7ZzcdmJIRgBDdzQaiPUvUdz04gcXtBHqo.PhY6V0L1AXBCjVqsl4W0LUGSFSftuUZqMh3FjDB0r6o%26dib_tag%3Dse%26keywords%3Dbest%2Bmachine%2Blearning%2Bbooks%26qid%3D1724406854%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,https://m.media-amazon.com/images/I/71F1WFE3slL._AC_UY218_.jpg,"Mastering Tableau 2023 - Fourth Edition: Implement advanced business intelligence techniques, analytics, and machine learning models with Tableau",Marleen Meier,"Aug 29, 2023",4.6,39.99
1,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo1OTg1MDYxOTI0NzU3OTg0OjE3MjQ0MDY4NTQ6c3BfYXRmOjIwMDA0MjY0MTc1MzY5ODo6MDo6&url=%2FMachine-Learning-PyTorch-Scikit-Learn-learning%2Fdp%2F1801819319%2Fref%3Dsr_1_2_sspa%3Fdib%3DeyJ2IjoiMSJ9.xAwomaxIymCfFuMlQoeVEPypoo3xij43kJuPhi1zk0yjphG75TDEqytpGVh3M9iqgRpiMhe29EGqlllWi8r7Y7IaikZauYrLEaQGAQbwROvDdoyMAauZP5kYp-tL0-9n1b3fqr8pxTK2yWjSHhVLHWdkAkKx_XXIaSu8f_fP2CXuG9yvkrSvr_XiZAXTCtM_oOfLhUcsJs7ZzcdmJIRgBDdzQaiPUvUdz04gcXtBHqo.PhY6V0L1AXBCjVqsl4W0LUGSFSftuUZqMh3FjDB0r6o%26dib_tag%3Dse%26keywords%3Dbest%2Bmachine%2Blearning%2Bbooks%26qid%3D1724406854%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,https://m.media-amazon.com/images/I/615IIVepfjL._AC_UY218_.jpg,Machine Learning with PyTorch and Scikit-Learn: Develop machine learning and deep learning models with Python,"Sebastian Raschka, Yuxi (Hayden) Liu","Feb 25, 2022",4.6,34.54
2,https://www.amazon.com/Hands-Machine-Learning-Scikit-Learn-TensorFlow/dp/1098125975/ref=sr_1_3?dib=eyJ2IjoiMSJ9.xAwomaxIymCfFuMlQoeVEPypoo3xij43kJuPhi1zk0yjphG75TDEqytpGVh3M9iqgRpiMhe29EGqlllWi8r7Y7IaikZauYrLEaQGAQbwROvDdoyMAauZP5kYp-tL0-9n1b3fqr8pxTK2yWjSHhVLHWdkAkKx_XXIaSu8f_fP2CXuG9yvkrSvr_XiZAXTCtM_oOfLhUcsJs7ZzcdmJIRgBDdzQaiPUvUdz04gcXtBHqo.PhY6V0L1AXBCjVqsl4W0LUGSFSftuUZqMh3FjDB0r6o&dib_tag=se&keywords=best+machine+learning+books&qid=1724406854&sr=8-3,https://m.media-amazon.com/images/I/81qHV3ACapL._AC_UY218_.jpg,"Hands-On Machine Learning with Scikit-Learn, Keras, and TensorFlow: Concepts, Tools, and Techniques to Build Intelligent Systems",Aurélien Géron,"Nov 8, 2022",4.7,49.99
3,https://www.amazon.com/Designing-Machine-Learning-Systems-Production-Ready/dp/1098107969/ref=sr_1_4?dib=eyJ2IjoiMSJ9.xAwomaxIymCfFuMlQoeVEPypoo3xij43kJuPhi1zk0yjphG75TDEqytpGVh3M9iqgRpiMhe29EGqlllWi8r7Y7IaikZauYrLEaQGAQbwROvDdoyMAauZP5kYp-tL0-9n1b3fqr8pxTK2yWjSHhVLHWdkAkKx_XXIaSu8f_fP2CXuG9yvkrSvr_XiZAXTCtM_oOfLhUcsJs7ZzcdmJIRgBDdzQaiPUvUdz04gcXtBHqo.PhY6V0L1AXBCjVqsl4W0LUGSFSftuUZqMh3FjDB0r6o&dib_tag=se&keywords=best+machine+learning+books&qid=1724406854&sr=8-4,https://m.media-amazon.com/images/I/81aSHEzSB1L._AC_UY218_.jpg,Designing Machine Learning Systems: An Iterative Process for Production-Ready Applications,Chip Huyen,"Jun 21, 2022",4.6,53.99
4,https://www.amazon.com/Hundred-Page-Machine-Learning-Book/dp/1777005477/ref=sr_1_5?dib=eyJ2IjoiMSJ9.xAwomaxIymCfFuMlQoeVEPypoo3xij43kJuPhi1zk0yjphG75TDEqytpGVh3M9iqgRpiMhe29EGqlllWi8r7Y7IaikZauYrLEaQGAQbwROvDdoyMAauZP5kYp-tL0-9n1b3fqr8pxTK2yWjSHhVLHWdkAkKx_XXIaSu8f_fP2CXuG9yvkrSvr_XiZAXTCtM_oOfLhUcsJs7ZzcdmJIRgBDdzQaiPUvUdz04gcXtBHqo.PhY6V0L1AXBCjVqsl4W0LUGSFSftuUZqMh3FjDB0r6o&dib_tag=se&keywords=best+machine+learning+books&qid=1724406854&sr=8-5,https://m.media-amazon.com/images/I/51XgdTo3xrL._AC_UY218_.jpg,The Hundred-Page Machine Learning Book,Andriy Burkov,"Jan 13, 2019",4.6,32.50
5,https://www.amazon.com/Mathematics-Machine-Learning-Peter-Deisenroth/dp/110845514X/ref=sr_1_6?dib=eyJ2IjoiMSJ9.xAwomaxIymCfFuMlQoeVEPypoo3xij43kJuPhi1zk0yjphG75TDEqytpGVh3M9iqgRpiMhe29EGqlllWi8r7Y7IaikZauYrLEaQGAQbwROvDdoyMAauZP5kYp-tL0-9n1b3fqr8pxTK2yWjSHhVLHWdkAkKx_XXIaSu8f_fP2CXuG9yvkrSvr_XiZAXTCtM_oOfLhUcsJs7ZzcdmJIRgBDdzQaiPUvUdz04gcXtBHqo.PhY6V0L1AXBCjVqsl4W0LUGSFSftuUZqMh3FjDB0r6o&dib_tag=se&keywords=best+machine+learning+books&qid=1724406854&sr=8-6,https://m.media-amazon.com/images/I/712XQZJfpSL._AC_UY218_.jpg,Mathematics for Machine Learning,"Part of: Studies in Natural Language Processing (38 books) , Marc Peter Deisenroth","Apr 1, 2020",4.6,55.83
6,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo1OTg1MDYxOTI0NzU3OTg0OjE3MjQ0MDY4NTQ6c3BfbXRmOjMwMDI4NDY2ODgxMzQwMjo6MDo6&url=%2FBuilding-LLMs-Production-Reliability-Fine-Tuning-ebook%2Fdp%2FB0D3G58GDD%2Fref%3Dsr_1_7_sspa%3Fdib%3DeyJ2IjoiMSJ9.xAwomaxIymCfFuMlQoeVEPypoo3xij43kJuPhi1zk0yjphG75TDEqytpGVh3M9iqgRpiMhe29EGqlllWi8r7Y7IaikZauYrLEaQGAQbwROvDdoyMAauZP5kYp-tL0-9n1b3fqr8pxTK2yWjSHhVLHWdkAkKx_XXIaSu8f_fP2CXuG9yvkrSvr_XiZAXTCtM_oOfLhUcsJs7ZzcdmJIRgBDdzQaiPUvUdz04gcXtBHqo.PhY6V0L1AXBCjVqsl4W0LUGSFSftuUZqMh3FjDB0r6o%26dib_tag%3Dse%26keywords%3Dbest%2Bmachine%2Blearning%2Bbooks%26qid%3D1724406854%26sr%3D8-7-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,https://m.media-amazon.com/images/I/51v6OXs7fFL._AC_UY218_.jpg,"Building LLMs for Production: Enhancing LLM Abilities and Reliability with Prompting, Fine-Tuning, and RAG",Louis-François Bouchard,"May 5, 2024",4.5,0.00
7,https://www.amazon.com/Machine-Learning-PyTorch-Scikit-Learn-learning/dp/1801819319/ref=sr_1_8?dib=eyJ2IjoiMSJ9.xAwomaxIymCfFuMlQoeVEPypoo3xij43kJuPhi1zk0yjphG75TDEqytpGVh3M9iqgRpiMhe29EGqlllWi8r7Y7IaikZauYrLEaQGAQbwROvDdoyMAauZP5kYp-tL0-9n1b3fqr8pxTK2yWjSHhVLHWdkAkKx_XXIaSu8f_fP2CXuG9yvkrSvr_XiZAXTCtM_oOfLhUcsJs7ZzcdmJIRgBDdzQaiPUvUdz04gcXtBHqo.PhY6V0L1AXBCjVqsl4W0LUGSFSftuUZqMh3FjDB0r6o&dib_tag=se&keywords=best+machine+learning+books&qid=1724406854&sr=8-8,https://m.media-amazon.com/images/I/615IIVepfjL._AC_UY218_.jpg,Machine Learning with PyTorch and Scikit-Learn: Develop machine learning and deep learning models with Python,"Sebastian Raschka, Yuxi (Hayden) Liu","Feb 25, 2022",4.6,34.54
8,https://www.amazon.com/Deep-Learning-Approach-Andrew-Glassner/dp/1718500726/ref=sr_1_9?dib=eyJ2IjoiMSJ9.xAwomaxIymCfFuMlQoeVEPypoo3xij43kJuPhi1zk0yjphG75TDEqytpGVh3M9iqgRpiMhe29EGqlllWi8r7Y7IaikZauYrLEaQGAQbwROvDdoyMAauZP5kYp-tL0-9n1b3fqr8pxTK2yWjSHhVLHWdkAkKx_XXIaSu8f_fP2CXuG9yvkrSvr_XiZAXTCtM_oOfLhUcsJs7ZzcdmJIRgBDdzQaiPUvUdz04gcXtBHqo.PhY6V0L1AXBCjVqsl4W0LUGSFSftuUZqMh3FjDB0r6o&dib_tag=se&keywords=best+machine+learning+books&qid=1724406854&sr=8-9,https://m.media-amazon.com/images/I/7172UjSBzmL._AC_UY218_.jpg,Deep Learning: A Visual Approach,Andrew Glassner,"Jun 29, 2021",4.7,67.20
9,https://www.amazon.com/Machine-Learning-Solutions-Architect-Handbook/dp/1805122509/ref=sr_1_10?dib=eyJ2IjoiMSJ9.xAwomaxIymCfFuMlQoeVEPypoo3xij43kJuPhi1zk0yjphG75TDEqytpGVh3M9iqgRpiMhe29EGqlllWi8r7Y7IaikZauYrLEaQGAQbwROvDdoyMAauZP5kYp-tL0-9n1b3fqr8pxTK2yWjSHhVLHWdkAkKx_XXIaSu8f_fP2CXuG9yvkrSvr_XiZAXTCtM_oOfLhUcsJs7ZzcdmJIRgBDdzQaiPUvUdz04gcXtBHqo.PhY6V0L1AXBCjVqsl4W0LUGSFSftuUZqMh3FjDB0r6o&dib_tag=se&keywords=best+machine+learning+books&qid=1724406854&sr=8-10,https://m.media-amazon.com/images/I/71DqL1lOBtL._AC_UY218_.jpg,"The Machine Learning Solutions Architect Handbook - Second Edition: Practical strategies and best practices on the ML lifecycle, system design, MLOps, and generative AI",David Ping,"Apr 15, 2024",4.9,31.15
