,SeriesName,Poster,ReleaseYear,Synopsis,Rating,Cast,Director,Network,Genre,Language,ReleaseDate
0,Inside Job,https://resizing.flixster.com/GS5bK7y7sHoM1gwnSY9Y0EMkA3U=/fit-in/180x240/v2/https://resizing.flixster.com/409TGxX1Sz7Yj3XhuCrQ4rMQq_I=/ems.cHJkLWVtcy1hc3NldHMvdHZzZXJpZXMvMGM3YTFjMTctNGI0ZC00ZjBiLWIzM2EtNjhlMTlmOGZmYmQzLmpwZw==,2021, Anti-social genius Reagan Ridley and her dysfunctional team work to hide the world's conspiracies.... ,79,"Lizzy Caplan,Christian Slater,Clark Duke,Tisha Campbell-Martin","Shion Takeuchi,Alex Hirsch",Netflix,"Sci-Fi,Comedy,Animation",English,"Oct 22, 2021"
1,1899,https://resizing.flixster.com/VR265PotIWkaQSe-ugdV6pkhPLo=/fit-in/180x240/v2/https://resizing.flixster.com/vjp6GCi3rcyDlLV3nDLIHroN-78=/ems.cHJkLWVtcy1hc3NldHMvdHZzZXJpZXMvNDQ5M2UxN2QtZGZjNy00Y2Q2LTkzZDgtMTNiYmJmZGM0ZDFlLmpwZw==,2022, Immigrants on a steamship traveling from London to New York get caught up in a mysterious riddle after finding a... ,77,"Emily Beecham,Aneurin Barnard,Andreas Pietschmann,Miguel Bernardeau",,Netflix,"Drama,Horror",English,"Nov 17, 2022"
2,Human Resources,https://resizing.flixster.com/UrAXaf_pJMm4fZGDY0Lcu2AmdJQ=/fit-in/180x240/v2/https://resizing.flixster.com/1rYh2_aZ2Xk0WaNshfcE-h0IjDI=/ems.cHJkLWVtcy1hc3NldHMvdHZzZXJpZXMvNjdjZWM0Y2MtZjVkMC00MmZmLTg1MjgtYTNmMzM3MDZiYmM3LmpwZw==,2022," This workplace comedy pulls back the curtain on the daily lives of Hormone Monsters, Depression Kitties, Shame Wizards, and other... ",75,"Aidy Bryant,Randall Park,Nick Kroll,Maya Rudolph","Kelly Galuska,Nick Kroll,Andrew Goldberg,Jennifer Flackett",Netflix,"Comedy,Animation",English,"Mar 18, 2022"
3,The Gentlemen,https://resizing.flixster.com/6zge6Yc_-fAaTQ-7cdfG_hysj_E=/fit-in/180x240/v2/https://resizing.flixster.com/b302QgbJv23f4Wk9H6Z09vPe0p8=/ems.cHJkLWVtcy1hc3NldHMvdHZzZXJpZXMvMGY0N2ZjZDMtYTVkYi00NGJiLTg5NTUtZWM5MWY0ZDhmMTRkLmpwZw==,2024," When aristocratic Eddie inherits the family estate, he discovers that it's home to an enormous weed empire, and its proprietors... ",74,"Theo James,Kaya Scodelario,Giancarlo Esposito,Daniel Ings","Guy Ritchie,Marn Davies,Ivan Atkinson,Marc Helwig",Netflix,"Comedy,Drama",English,"Mar 7, 2024"
4,The Night Agent,https://resizing.flixster.com/oN3HLWzuaGa8WeGTBVBW1dDYKQ8=/fit-in/180x240/v2/https://resizing.flixster.com/wLM95UiPP8D6ltOAvLnOUuYwyk8=/ems.cHJkLWVtcy1hc3NldHMvdHZzZXJpZXMvMTJlM2U0NTQtY2E1NS00YmI3LWIzZDgtYmYwNzhlZTkzOGViLmpwZw==,2023," Based on the novel by Matthew Quirk, The Night Agent is a sophisticated, character-based, action-thriller centering on a low level... ",74,"Gabriel Basso,Luciane Buchanan,Hong Chau,Sarah Desjardins","Shawn Ryan,Marney Hochman,Seth Gordon,Julia Gunn",Netflix,"Drama,Mystery & Thriller",English,"Mar 23, 2023"
5,Wednesday,https://resizing.flixster.com/MyYgxsWClhRXro2zqFvFgVimfYU=/fit-in/180x240/v2/https://resizing.flixster.com/LumPRA7tw5a4VtKzSnGnTWpW2Q8=/ems.cHJkLWVtcy1hc3NldHMvdHZzZXJpZXMvNTlmOGIyM2ItMzRhMy00MjdkLThkNDYtZWJkZDI1ODMzNmI3LmpwZw==,2022," While attending Nevermore Academy, Wednesday Addams attempts to master her emerging psychic ability, thwart a killing spree and solve the... ",73,"Jenna Ortega,Gwendoline Christie,Riki Lindhome,Christina Ricci","Tim Burton,Alfred Gough,Miles Millar,Kayla Alpert",Netflix,Mystery & Thriller,English,"Nov 23, 2022"
6,Manifest,https://resizing.flixster.com/Tv74UJCi7VE1xKsKDgNcoFRqfKo=/fit-in/180x240/v2/https://resizing.flixster.com/u5EDiL4PdP4myXFJfZSrGvYYWfs=/ems.cHJkLWVtcy1hc3NldHMvdHZzZXJpZXMvZTY2MTRiMTQtMDE2YS00MDk5LTk4ZGYtYjdlYmI0MmI1NjRkLmpwZw==,2018," When Montego Air Flight 828 landed safely after a turbulent but routine flight, the crew and passengers were relieved. But... ",72,"Melissa Roxburgh,Josh Dallas,J.R. Ramirez,Luna Blaise","Jeff Rake,Robert Zemeckis,Jack Rapke,Jackie Levine",NBC,"Drama,Sci-Fi,Adventure,Mystery & Thriller",English,"Sep 24, 2018"
7,Outer Banks,https://resizing.flixster.com/ZCrISU1ZZrkOAzKASGoMT-gW_sU=/fit-in/180x240/v2/https://resizing.flixster.com/sVONCNI3xr5d3qg9S5CszPzhF2w=/ems.cHJkLWVtcy1hc3NldHMvdHZzZXJpZXMvMDBiN2M5NDktYmY0ZC00MjgxLWJjNGEtMGEwNmIzNDhiZmFlLmpwZw==,2020, A teenager enlists his three best friends to hunt for a legendary treasure linked to his father's disappearance.... ,72,"Chase Stokes,Madelyn Cline,Madison Bailey,Jonathan Daviss",,Netflix,Drama,English,"Apr 15, 2020"
8,Treason,https://resizing.flixster.com/4dZ5IFyzd36oHqSvDj2S6r_3Qss=/fit-in/180x240/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p23455119_b_v13_ab.jpg,2022, An MI6 deputy's bright future takes a sharp turn after a reunion with a Russian spy forces him to question... ,72,"Charlie Cox,Oona Chaplin,Olga Kurylenko,Ciarán Hinds","Matt Charman,Foz Allan,Valery Ryan",Netflix,"Drama,Mystery & Thriller",English,"Dec 26, 2022"
9,Elite,https://resizing.flixster.com/u6hfty1PjtbkPjLt8jZpv_9UxhE=/fit-in/180x240/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p15991777_b_v13_af.jpg,2018," When three working-class teens enroll in an exclusive private school in Spain, the clash between them and the wealthy students... ",71,"André Lamoglia,Valentina Zenere,Omar Ayuso,Carmen Arrufat","Diego Betancor,Carlos Montero,Ramón Salazar,Dani de la Órden",Netflix,"Crime,Drama,Mystery & Thriller",European Spanish,"Oct 5, 2018"
