,poster,MovieName,Rating,Director
0,"https://m.media-amazon.com/images/M/MV5BZDI4OTM1ZjMtOWQxMC00OTY5LTg3NjQtMjlhMWVjODFlYTY4XkEyXkFqcGdeQXVyMTYzMTU3Njgx._V1_QL75_UY71_CR3,0,48,71_.jpg",12th Fail,8.9,Vidhu Vinod Chopra
1,"https://m.media-amazon.com/images/M/MV5BYjBhYmQxNTgtNDU2Ni00NGQzLTg5MzQtMDdkY2I3MzA1MTc0XkEyXkFqcGdeQXVyMTA0MTM5NjI2._V1_QL75_UX48_CR0,0,48,71_.jpg",Gol Maal,8.5,Hrishikesh Mukherjee
2,"https://m.media-amazon.com/images/M/MV5BNzEyZTFmZTItYWU2My00ZWZkLTg2NWMtMTEwYmM5YzFmNzFhXkEyXkFqcGdeQXVyMTA0MTM5NjI2._V1_QL75_UX48_CR0,0,48,71_.jpg",Nayakan,8.7,Mani Ratnam
3,"https://m.media-amazon.com/images/M/MV5BOTFlMTIxOGItZTk0Zi00MTk2LWJiM2UtMzlhZWYzNjQ4N2Y3XkEyXkFqcGc@._V1_QL75_UY71_CR3,0,48,71_.jpg",Maharaja,8.6,Nithilan Saminathan
4,"https://m.media-amazon.com/images/M/MV5BN2ZhM2NkZDUtMTI3OC00NWE5LWEwYzMtZTlhMjhkZGFlMjQyXkEyXkFqcGdeQXVyNTgyNTA4MjM@._V1_QL75_UX48_CR0,0,48,71_.jpg",The World of Apu,8.4,Satyajit Ray
5,"https://m.media-amazon.com/images/M/MV5BYjY2NDNhOTItNjAwMi00ZjA0LTkzOGYtNWJkZmZiN2FlODU4XkEyXkFqcGdeQXVyMTEzNzg0Mjkx._V1_QL75_UY71_CR2,0,48,71_.jpg",Anbe Sivam,8.6,Sundar C.
6,"https://m.media-amazon.com/images/M/MV5BMGYyOTdhMWEtMjdkNi00ZWJhLTkwYTUtODI0M2E4NjIzMTkyXkEyXkFqcGdeQXVyMTEzNzg0Mjkx._V1_QL75_UY71_CR1,0,48,71_.jpg",Pariyerum Perumal,8.7,Mari Selvaraj
7,"https://m.media-amazon.com/images/M/MV5BNTkyOGVjMGEtNmQzZi00NzFlLTlhOWQtODYyMDc2ZGJmYzFhXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_QL75_UY71_CR1,0,48,71_.jpg",3 Idiots,8.4,Rajkumar Hirani
8,"https://m.media-amazon.com/images/M/MV5BNWU1ZmNlYTctYmY1My00ZDlmLTk3M2EtZDcxY2E1ZGU0N2YzXkEyXkFqcGdeQXVyMTI1NDAzMzM0._V1_QL75_UY71_CR5,0,48,71_.jpg",#Home,8.8,Rojin Thomas
9,"https://m.media-amazon.com/images/M/MV5BZjQxMmE4NDMtZGVkYi00YmQyLThiNTMtOTVmNDEyZWQ2MzUwXkEyXkFqcGdeQXVyMjkxNzQ1NDI@._V1_QL75_UX48_CR0,0,48,71_.jpg",Manichithrathazhu,8.7,Fazil
